year,msa_code,sector,estabs_entry,estabs_exit,net_openings,job_creation,job_destruction,job_net,firms,growth_rate,closure_rate
1978,10100,44-45,34.0,21.0,13.0,467,221,246,254,0.968503937007874,0.6176470588235294
1978,10140,44-45,59.0,39.0,20.0,593,302,291,322,0.9037267080745341,0.6610169491525424
1978,10180,44-45,113.0,88.0,25.0,1408,1293,115,675,0.17037037037037037,0.7787610619469026
1978,10220,44-45,29.0,25.0,4.0,302,223,79,188,0.42021276595744683,0.8620689655172413
1978,10300,44-45,42.0,46.0,-4.0,657,447,210,358,0.5865921787709497,1.0952380952380953
1978,10420,44-45,318.0,302.0,16.0,6618,3872,2746,1882,1.459086078639745,0.949685534591195
1978,10460,44-45,36.0,25.0,11.0,385,290,95,199,0.47738693467336685,0.6944444444444444
1978,10480,44-45,19.0,18.0,1.0,213,223,-10,123,-0.08130081300813008,0.9473684210526315
1978,10500,44-45,91.0,74.0,17.0,1264,991,273,634,0.4305993690851735,0.8131868131868132
1978,10540,44-45,59.0,40.0,19.0,793,399,394,363,1.0853994490358128,0.6779661016949152
1978,10580,44-45,298.0,331.0,-33.0,5746,4387,1359,2436,0.5578817733990148,1.110738255033557
1978,10620,44-45,37.0,27.0,10.0,336,224,112,244,0.45901639344262296,0.7297297297297297
1978,10660,44-45,21.0,21.0,0.0,286,282,4,185,0.021621621621621623,1.0
1978,10700,44-45,64.0,56.0,8.0,564,386,178,361,0.4930747922437673,0.875
1978,10740,44-45,357.0,301.0,56.0,5272,3322,1950,1607,1.2134411947728687,0.8431372549019608
1978,10760,44-45,34.0,15.0,19.0,322,126,196,196,1.0,0.4411764705882353
1978,10780,44-45,86.0,73.0,13.0,1413,725,688,559,1.2307692307692308,0.8488372093023255
1978,10820,44-45,33.0,23.0,10.0,399,252,147,179,0.8212290502793296,0.696969696969697
1978,10860,44-45,35.0,25.0,10.0,404,159,245,236,1.0381355932203389,0.7142857142857143
1978,10900,44-45,291.0,313.0,-22.0,5952,4565,1387,2250,0.6164444444444445,1.0756013745704467
1978,10940,44-45,22.0,23.0,-1.0,400,199,201,194,1.0360824742268042,1.0454545454545454
1978,10980,44-45,26.0,14.0,12.0,372,168,204,188,1.0851063829787233,0.5384615384615384
1978,11020,44-45,92.0,69.0,23.0,1420,1023,397,546,0.7271062271062271,0.75
1978,11060,44-45,20.0,30.0,-10.0,233,236,-3,167,-0.017964071856287425,1.5
1978,11100,44-45,157.0,138.0,19.0,2492,1654,838,907,0.9239250275633958,0.8789808917197452
1978,11140,44-45,30.0,23.0,7.0,267,184,83,188,0.44148936170212766,0.7666666666666667
1978,11180,44-45,59.0,35.0,24.0,1085,461,624,455,1.3714285714285714,0.5932203389830508
1978,11200,44-45,47.0,56.0,-9.0,812,637,175,526,0.33269961977186313,1.1914893617021276
1978,11220,44-45,21.0,22.0,-1.0,238,231,7,211,0.03317535545023697,1.0476190476190477
1978,11260,44-45,186.0,89.0,97.0,2417,2423,-6,591,-0.01015228426395939,0.478494623655914
1978,11360,44-45,26.0,23.0,3.0,262,242,20,259,0.07722007722007722,0.8846153846153846
1978,11380,44-45,13.0,9.0,4.0,165,97,68,71,0.9577464788732394,0.6923076923076923
1978,11420,44-45,17.0,21.0,-4.0,364,235,129,150,0.86,1.2352941176470589
1978,11460,44-45,139.0,125.0,14.0,2528,1534,994,825,1.2048484848484848,0.8992805755395683
1978,11500,44-45,68.0,67.0,1.0,866,480,386,455,0.8483516483516483,0.9852941176470589
1978,11540,44-45,77.0,50.0,27.0,1346,841,505,610,0.8278688524590164,0.6493506493506493
1978,11580,44-45,15.0,11.0,4.0,182,210,-28,82,-0.34146341463414637,0.7333333333333333
1978,11620,44-45,34.0,26.0,8.0,382,252,130,266,0.48872180451127817,0.7647058823529411
1978,11660,44-45,13.0,13.0,0.0,192,90,102,107,0.9532710280373832,1.0
1978,11680,44-45,16.0,19.0,-3.0,264,223,41,173,0.23699421965317918,1.1875
1978,11700,44-45,163.0,113.0,50.0,1764,1073,691,908,0.7610132158590308,0.6932515337423313
1978,11740,44-45,18.0,29.0,-11.0,471,286,185,195,0.9487179487179487,1.6111111111111112
1978,11820,44-45,22.0,15.0,7.0,272,155,117,197,0.5939086294416244,0.6818181818181818
1978,11860,44-45,8.0,11.0,-3.0,108,88,20,94,0.2127659574468085,1.375
1978,11900,44-45,25.0,20.0,5.0,375,271,104,202,0.5148514851485149,0.8
1978,11940,44-45,31.0,34.0,-3.0,454,214,240,227,1.0572687224669604,1.096774193548387
1978,11980,44-45,34.0,24.0,10.0,357,210,147,198,0.7424242424242424,0.7058823529411765
1978,12020,44-45,72.0,73.0,-1.0,816,501,315,438,0.7191780821917808,1.0138888888888888
1978,12060,44-45,1555.0,1304.0,251.0,23906,17322,6584,7309,0.9008072239704474,0.8385852090032154
1978,12100,44-45,207.0,198.0,9.0,3382,2588,794,1346,0.5898959881129272,0.9565217391304348
1978,12140,44-45,17.0,23.0,-6.0,154,183,-29,142,-0.20422535211267606,1.3529411764705883
1978,12180,44-45,24.0,27.0,-3.0,381,463,-82,270,-0.3037037037037037,1.125
1978,12220,44-45,56.0,51.0,5.0,792,545,247,365,0.6767123287671233,0.9107142857142857
1978,12260,44-45,234.0,225.0,9.0,3017,2267,750,1330,0.5639097744360902,0.9615384615384616
1978,12300,44-45,61.0,55.0,6.0,697,760,-63,475,-0.13263157894736843,0.9016393442622951
1978,12380,44-45,17.0,22.0,-5.0,410,308,102,206,0.49514563106796117,1.2941176470588236
1978,12420,44-45,434.0,308.0,126.0,7327,3865,3462,1918,1.8050052137643378,0.7096774193548387
1978,12460,44-45,30.0,25.0,5.0,273,132,141,166,0.8493975903614458,0.8333333333333334
1978,12520,44-45,14.0,13.0,1.0,171,102,69,81,0.8518518518518519,0.9285714285714286
1978,12540,44-45,246.0,202.0,44.0,3345,2001,1344,1441,0.9326856349757113,0.8211382113821138
1978,12580,44-45,948.0,943.0,5.0,17459,16928,531,6066,0.08753709198813056,0.9947257383966245
1978,12620,44-45,77.0,72.0,5.0,900,633,267,615,0.43414634146341463,0.935064935064935
1978,12660,44-45,30.0,21.0,9.0,425,187,238,232,1.0258620689655173,0.7
1978,12700,44-45,163.0,76.0,87.0,1852,821,1031,951,1.0841219768664563,0.4662576687116564
1978,12740,44-45,36.0,29.0,7.0,488,214,274,325,0.8430769230769231,0.8055555555555556
1978,12780,44-45,25.0,16.0,9.0,345,369,-24,201,-0.11940298507462686,0.64
1978,12860,44-45,26.0,26.0,0.0,410,318,92,236,0.3898305084745763,1.0
1978,12900,44-45,37.0,15.0,22.0,221,139,82,160,0.5125,0.40540540540540543
1978,12940,44-45,308.0,238.0,70.0,6503,4092,2411,1893,1.2736397253037506,0.7727272727272727
1978,12980,44-45,65.0,59.0,6.0,1091,700,391,513,0.7621832358674464,0.9076923076923077
1978,13020,44-45,63.0,74.0,-11.0,1060,709,351,459,0.7647058823529411,1.1746031746031746
1978,13060,44-45,27.0,19.0,8.0,450,201,249,176,1.4147727272727273,0.7037037037037037
1978,13100,44-45,16.0,14.0,2.0,245,158,87,153,0.5686274509803921,0.875
1978,13140,44-45,224.0,210.0,14.0,4142,3511,631,1382,0.4565846599131693,0.9375
1978,13180,44-45,34.0,27.0,7.0,514,307,207,325,0.6369230769230769,0.7941176470588235
1978,13220,44-45,76.0,89.0,-13.0,1001,1113,-112,558,-0.2007168458781362,1.1710526315789473
